id,nome,codigo,sigla,municipio_id,padrao,principal
275,"São Francisco da Jararaca",10,NULL,179,N,N
276,"São Miguel do Pracuúba",15,NULL,179,N,N
277,"Ponta de Pedras",05,NULL,180,N,N
278,Salvaterra,05,NULL,181,N,N
279,Condeixa,10,NULL,181,N,N
280,Joanes,15,NULL,181,N,N
281,Jubim,20,NULL,181,N,N
282,Monsarás,25,NULL,181,N,N
283,"Santa Cruz do Arari",05,NULL,182,N,N
284,Soure,05,NULL,183,N,N
285,Ananindeua,05,NULL,184,N,N
286,Barcarena,05,NULL,185,N,N
287,Murucupi,10,NULL,185,N,N
288,Belém,05,NULL,186,N,N
289,Bengui,45,NULL,186,N,N
290,Entroncamento,50,NULL,186,N,N
291,Guamá,55,NULL,186,N,N
292,Icoaraci,60,NULL,186,N,N
293,Mosqueiro,65,NULL,186,N,N
294,Outeiro,67,NULL,186,N,N
295,Sacramenta,75,NULL,186,N,N
296,Benevides,05,NULL,187,N,N
297,Benfica,10,NULL,187,N,N
298,Marituba,05,NULL,188,N,N
299,"Santa Bárbara do Pará",05,NULL,189,N,N
300,Bujaru,05,NULL,190,N,N
301,Guajará-Açu,10,NULL,190,N,N
302,Castanhal,05,NULL,191,N,N
303,Apeú,10,NULL,191,N,N
304,Inhangapi,05,NULL,192,N,N
305,"Santa Isabel do Pará",05,NULL,193,N,N
306,Americano,10,NULL,193,N,N
307,Caraparu,15,NULL,193,N,N
308,"Santo Antônio do Tauá",05,NULL,194,N,N
309,"Espírito Santo do Tauá",10,NULL,194,N,N
310,"São Raimundo de Borralhos",15,NULL,194,N,N
311,Colares,05,NULL,195,N,N
312,Curuçá,05,NULL,196,N,N
313,"Lauro Sodré",20,NULL,196,N,N
314,Murajá,25,NULL,196,N,N
315,"Ponta de Ramos",40,NULL,196,N,N
316,"Magalhães Barata",05,NULL,197,N,N
317,Cafezal,10,NULL,197,N,N
318,Maracanã,05,NULL,198,N,N
319,"Boa Esperança",15,NULL,198,N,N
320,"São Roberto",40,NULL,198,N,N
321,Marapanim,05,NULL,199,N,N
322,Marudá,10,NULL,199,N,N
323,Matapiquara,15,NULL,199,N,N
324,"Monte Alegre do Maú",20,NULL,199,N,N
325,"Praia de Marudá",22,NULL,199,N,N
326,Salinópolis,05,NULL,200,N,N
327,"São Caetano de Odivelas",05,NULL,201,N,N
328,Perseverança,10,NULL,201,N,N
329,"São João da Ponta",05,NULL,202,N,N
330,"São João de Pirabas",05,NULL,203,N,N
331,Japerica,10,NULL,203,N,N
332,"Terra Alta",05,NULL,204,N,N
333,Vigia,05,NULL,205,N,N
334,"Porto Salvo",15,NULL,205,N,N
335,"Augusto Corrêa",05,NULL,206,N,N
336,Aturiaí,10,NULL,206,N,N
337,Emboraí,15,NULL,206,N,N
338,Itapixuna,20,NULL,206,N,N
339,Bonito,05,NULL,207,N,N
340,Bragança,05,NULL,208,N,N
341,Almoço,10,NULL,208,N,N
342,Caratateua,15,NULL,208,N,N
343,"Nova Mocajuba",20,NULL,208,N,N
344,Tijoca,30,NULL,208,N,N
345,"Vila do Treme",40,NULL,208,N,N
346,Capanema,05,NULL,209,N,N
347,Mirasselvas,10,NULL,209,N,N
348,Tauari,15,NULL,209,N,N
349,Igarapé-Açu,05,NULL,210,N,N
350,Caripi,10,NULL,210,N,N
351,"Nova Timboteua",05,NULL,211,N,N
352,Timboteua,10,NULL,211,N,N
353,Peixe-Boi,05,NULL,212,N,N
354,Tauarizinho,10,NULL,212,N,N
355,Primavera,05,NULL,213,N,N
356,Quatipuru,05,NULL,214,N,N
357,"Santa Maria do Pará",05,NULL,215,N,N
358,"Santarém Novo",05,NULL,216,N,N
359,"São Francisco do Pará",05,NULL,217,N,N
360,Tracuateua,05,NULL,218,N,N
361,Abaetetuba,05,NULL,219,N,N
362,Beja,10,NULL,219,N,N
363,Baião,05,NULL,220,N,N
364,"Joana Peres",10,NULL,220,N,N
365,"São Joaquim do Ituquara",20,NULL,220,N,N
366,"Umarizal do Tocantins",30,NULL,220,N,N
367,Cametá,05,NULL,221,N,N
368,Areião,07,NULL,221,N,N
369,Carapajó,10,NULL,221,N,N
370,Curuçambaba,15,NULL,221,N,N
371,Januacoeli,20,NULL,221,N,N
372,Juaba,25,NULL,221,N,N
373,Moiraba,30,NULL,221,N,N
374,"Torres do Cupijó",36,NULL,221,N,N
375,"Vila do Carmo do Tocantins",40,NULL,221,N,N
376,Igarapé-Miri,05,NULL,222,N,N
377,Maiauatá,10,NULL,222,N,N
378,"Limoeiro do Ajuru",05,NULL,223,N,N
379,Mocajuba,05,NULL,224,N,N
380,"São Pedro de Viseu",15,NULL,224,N,N
381,"Oeiras do Pará",05,NULL,225,N,N
382,Acará,05,NULL,226,N,N
383,Guajará-Miri,10,NULL,226,N,N
384,Jaguarari,15,NULL,226,N,N
385,"Concórdia do Pará",05,NULL,227,N,N
386,Moju,05,NULL,228,N,N
387,Cairari,10,NULL,228,N,N
388,Tailândia,05,NULL,229,N,N
389,Tomé-Açu,05,NULL,230,N,N
390,"Aurora do Pará",05,NULL,231,N,N
391,"Cachoeira do Piriá",05,NULL,232,N,N
392,"Capitão Poço",05,NULL,233,N,N
393,"Garrafão do Norte",05,NULL,234,N,N
394,"Ipixuna do Pará",05,NULL,235,N,N
395,Irituia,05,NULL,236,N,N
396,"Mãe do Rio",05,NULL,237,N,N
397,"Nova Esperança do Piriá",05,NULL,238,N,N
398,Ourém,05,NULL,239,N,N
399,"Santa Luzia do Pará",05,NULL,240,N,N
400,"São Domingos do Capim",05,NULL,241,N,N
401,"São Miguel do Guamá",05,NULL,242,N,N
402,Caju,10,NULL,242,N,N
403,Urucuri,15,NULL,242,N,N
404,Urucuriteua,20,NULL,242,N,N
405,Viseu,05,NULL,243,N,N
406,"Fernandes Belo",15,NULL,243,N,N
407,"São José do Gurupi",20,NULL,243,N,N
408,"São José do Piriá",25,NULL,243,N,N
409,Aveiro,05,NULL,244,N,N
410,"Brasília Legal",10,NULL,244,N,N
411,Pinhel,15,NULL,244,N,N
412,Itaituba,05,NULL,245,N,N
413,Jacareacanga,05,NULL,246,N,N
414,"Porto Rico",20,NULL,246,N,N
415,"Novo Progresso",05,NULL,247,N,N
416,Rurópolis,05,NULL,248,N,N
